trace_id,variant,request,run_index,model,workflow_id,workflow_version,started_at_utc,completed_at_utc,wall_clock_ms,call_count,total_input_tokens,cached_input_tokens,total_output_tokens,total_reasoning_tokens,final_state,failure_reason,score_coverage,score_coherence,score_specificity,score_actionability,score_perspective,score_total,scorer_human,scorer_llm,per_node_json,per_scope_json
7dd1b4a4-484a-4c64-a76a-8f904ce1ab93,V1,A,1,gpt-5.4,swarm-bench-baseline,1,2026-04-28T14:57:11.681328Z,2026-04-28T14:58:17.099502Z,65418,3,4040,2560,3637,0,Completed,,4,4,3,4,3,18,,18,"[{""nodeId"":""5a90ba51-0001-0001-0001-000000000001"",""rollup"":{""callCount"":1,""totals"":{""input_tokens"":675,""input_tokens_details.cached_tokens"":0,""output_tokens"":26,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":701},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":675,""input_tokens_details.cached_tokens"":0,""output_tokens"":26,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":701}}]}},{""nodeId"":""5a90ba51-0001-0001-0001-000000000002"",""rollup"":{""callCount"":2,""totals"":{""input_tokens"":3365,""input_tokens_details.cached_tokens"":2560,""output_tokens"":3611,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":6976},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":3365,""input_tokens_details.cached_tokens"":2560,""output_tokens"":3611,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":6976}}]}}]",[]
fc015e5e-15be-48da-9490-4ab183b634d4,V1,A,2,gpt-5.4,swarm-bench-baseline,1,2026-04-28T15:09:48.204129Z,2026-04-28T15:10:28.052216Z,39848,3,4099,2560,2051,0,Completed,,5,4,4,4,4,21,,21,"[{""nodeId"":""5a90ba51-0001-0001-0001-000000000001"",""rollup"":{""callCount"":1,""totals"":{""input_tokens"":675,""input_tokens_details.cached_tokens"":0,""output_tokens"":26,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":701},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":675,""input_tokens_details.cached_tokens"":0,""output_tokens"":26,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":701}}]}},{""nodeId"":""5a90ba51-0001-0001-0001-000000000002"",""rollup"":{""callCount"":2,""totals"":{""input_tokens"":3424,""input_tokens_details.cached_tokens"":2560,""output_tokens"":2025,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":5449},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":3424,""input_tokens_details.cached_tokens"":2560,""output_tokens"":2025,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":5449}}]}}]",[]
a29df9c3-9fee-4c06-a7d0-a245dc93dcda,V1,A,3,gpt-5.4,swarm-bench-baseline,1,2026-04-28T15:11:17.733365Z,2026-04-28T15:12:09.370186Z,51636,3,4356,2816,2308,0,Completed,,5,4,4,4,4,21,,21,"[{""nodeId"":""5a90ba51-0001-0001-0001-000000000001"",""rollup"":{""callCount"":1,""totals"":{""input_tokens"":675,""input_tokens_details.cached_tokens"":0,""output_tokens"":26,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":701},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":675,""input_tokens_details.cached_tokens"":0,""output_tokens"":26,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":701}}]}},{""nodeId"":""5a90ba51-0001-0001-0001-000000000002"",""rollup"":{""callCount"":2,""totals"":{""input_tokens"":3681,""input_tokens_details.cached_tokens"":2816,""output_tokens"":2282,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":5963},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":3681,""input_tokens_details.cached_tokens"":2816,""output_tokens"":2282,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":5963}}]}}]",[]
9d3af045-23a9-44e7-89ec-3720bd78c13e,V1,B,1,gpt-5.4,swarm-bench-baseline,1,2026-04-28T15:12:45.813063Z,2026-04-28T15:13:05.080424Z,19267,2,1961,0,958,0,Completed,,5,5,4,5,4,23,,23,"[{""nodeId"":""5a90ba51-0001-0001-0001-000000000001"",""rollup"":{""callCount"":1,""totals"":{""input_tokens"":975,""input_tokens_details.cached_tokens"":0,""output_tokens"":26,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1001},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":975,""input_tokens_details.cached_tokens"":0,""output_tokens"":26,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1001}}]}},{""nodeId"":""5a90ba51-0001-0001-0001-000000000002"",""rollup"":{""callCount"":1,""totals"":{""input_tokens"":986,""input_tokens_details.cached_tokens"":0,""output_tokens"":932,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1918},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":986,""input_tokens_details.cached_tokens"":0,""output_tokens"":932,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1918}}]}}]",[]
ebac7dbe-a324-4e99-b174-b567e5be9bf8,V1,B,2,gpt-5.4,swarm-bench-baseline,1,2026-04-28T15:13:41.550718Z,2026-04-28T15:14:05.725798Z,24175,3,3051,0,961,0,Completed,,5,5,4,4,4,22,,22,"[{""nodeId"":""5a90ba51-0001-0001-0001-000000000001"",""rollup"":{""callCount"":2,""totals"":{""input_tokens"":2065,""input_tokens_details.cached_tokens"":0,""output_tokens"":50,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":2115},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":2065,""input_tokens_details.cached_tokens"":0,""output_tokens"":50,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":2115}}]}},{""nodeId"":""5a90ba51-0001-0001-0001-000000000002"",""rollup"":{""callCount"":1,""totals"":{""input_tokens"":986,""input_tokens_details.cached_tokens"":0,""output_tokens"":911,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1897},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":986,""input_tokens_details.cached_tokens"":0,""output_tokens"":911,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1897}}]}}]",[]
67e9d148-220f-46d7-8b83-3841045289ed,V1,B,3,gpt-5.4,swarm-bench-baseline,1,2026-04-28T15:14:28.061987Z,2026-04-28T15:14:48.764556Z,20702,2,1961,0,956,0,Completed,,5,5,4,4,4,22,,22,"[{""nodeId"":""5a90ba51-0001-0001-0001-000000000001"",""rollup"":{""callCount"":1,""totals"":{""input_tokens"":975,""input_tokens_details.cached_tokens"":0,""output_tokens"":26,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1001},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":975,""input_tokens_details.cached_tokens"":0,""output_tokens"":26,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1001}}]}},{""nodeId"":""5a90ba51-0001-0001-0001-000000000002"",""rollup"":{""callCount"":1,""totals"":{""input_tokens"":986,""input_tokens_details.cached_tokens"":0,""output_tokens"":930,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1916},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":986,""input_tokens_details.cached_tokens"":0,""output_tokens"":930,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1916}}]}}]",[]
63aea9ba-2779-4f17-99c0-2fbce4d11430,V2,A,1,gpt-5.4,swarm-bench-sequential,1,2026-04-28T15:15:21.135495Z,2026-04-28T15:19:10.883379Z,229747,14,49201,31872,14573,0,Completed,,5,5,4,5,4,23,,23,"[{""nodeId"":""5a90b001-0001-0001-0001-000000000001"",""rollup"":{""callCount"":2,""totals"":{""input_tokens"":1485,""input_tokens_details.cached_tokens"":0,""output_tokens"":50,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1535},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":1485,""input_tokens_details.cached_tokens"":0,""output_tokens"":50,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1535}}]}},{""nodeId"":""5a90b001-0001-0001-0002-000000000001"",""rollup"":{""callCount"":3,""totals"":{""input_tokens"":1297,""input_tokens_details.cached_tokens"":0,""output_tokens"":49,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1346},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":1297,""input_tokens_details.cached_tokens"":0,""output_tokens"":49,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":1346}}]}},{""nodeId"":""5a90b001-0001-0001-0002-000000000002"",""rollup"":{""callCount"":2,""totals"":{""input_tokens"":3819,""input_tokens_details.cached_tokens"":2688,""output_tokens"":3645,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":7464},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":3819,""input_tokens_details.cached_tokens"":2688,""output_tokens"":3645,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":7464}}]}},{""nodeId"":""5a90b001-0001-0001-0002-000000000003"",""rollup"":{""callCount"":2,""totals"":{""input_tokens"":9830,""input_tokens_details.cached_tokens"":5120,""output_tokens"":2450,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":12280},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":9830,""input_tokens_details.cached_tokens"":5120,""output_tokens"":2450,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":12280}}]}},{""nodeId"":""5a90b001-0001-0001-0002-000000000004"",""rollup"":{""callCount"":3,""totals"":{""input_tokens"":17955,""input_tokens_details.cached_tokens"":16000,""output_tokens"":5089,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":23044},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":17955,""input_tokens_details.cached_tokens"":16000,""output_tokens"":5089,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":23044}}]}},{""nodeId"":""5a90b001-0001-0001-0002-000000000005"",""rollup"":{""callCount"":2,""totals"":{""input_tokens"":14815,""input_tokens_details.cached_tokens"":8064,""output_tokens"":3290,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":18105},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":14815,""input_tokens_details.cached_tokens"":8064,""output_tokens"":3290,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":18105}}]}}]","[{""scopeId"":""005b8bab-3c69-4e0c-b8e3-5a7e2764e341"",""rollup"":{""callCount"":12,""totals"":{""input_tokens"":47716,""input_tokens_details.cached_tokens"":31872,""output_tokens"":14523,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":62239},""byProviderModel"":[{""provider"":""openai"",""model"":""gpt-5.4"",""totals"":{""input_tokens"":47716,""input_tokens_details.cached_tokens"":31872,""output_tokens"":14523,""output_tokens_details.reasoning_tokens"":0,""total_tokens"":62239}}]}}]"
